group,Field,Value
All Students,exceeded,14
All Students,met,19
All Students,nearly met,29
All Students,not met,38
African American,exceeded,4
African American,met,12
African American,nearly met,27
African American,not met,56
Latino,exceeded,6
Latino,met,15
Latino,nearly met,31
Latino,not met,48
White,exceeded,22
White,met,27
White,nearly met,28
White,not met,23
Asian,exceeded,44
Asian,met,25
Asian,nearly met,19
Asian,not met,12
English Learner,exceeded,3
English Learner,met,8
English Learner,nearly met,24
English Learner,not met,65
Low Income,exceeded,6
Low Income,met,15
Low Income,nearly met,30
Low Income,not met,49
