Group,Year,County,Enrollment
American Indialaska Native Students,2013,ALAMEDA COUNTY,785
American Indialaska Native Students,2013,ALPINE COUNTY,40
American Indialaska Native Students,2013,AMADOR COUNTY,125
American Indialaska Native Students,2013,BUTTE COUNTY,763
American Indialaska Native Students,2013,CALAVERAS COUNTY,101
American Indialaska Native Students,2013,COLUSA COUNTY,91
American Indialaska Native Students,2013,CONTRA COSTA COUNTY,601
American Indialaska Native Students,2013,DEL NORTE COUNTY,603
American Indialaska Native Students,2013,EL DORADO COUNTY,251
American Indialaska Native Students,2013,FRESNO COUNTY,1269
American Indialaska Native Students,2013,GLENN COUNTY,92
American Indialaska Native Students,2013,HUMBOLDT COUNTY,1718
American Indialaska Native Students,2013,IMPERIAL COUNTY,404
American Indialaska Native Students,2013,INYO COUNTY,439
American Indialaska Native Students,2013,KERN COUNTY,1024
American Indialaska Native Students,2013,KINGS COUNTY,372
American Indialaska Native Students,2013,LAKE COUNTY,427
American Indialaska Native Students,2013,LASSEN COUNTY,214
American Indialaska Native Students,2013,LOS ANGELES COUNTY,4883
American Indialaska Native Students,2013,MADERA COUNTY,346
American Indialaska Native Students,2013,MARIN COUNTY,155
American Indialaska Native Students,2013,MARIPOSA COUNTY,93
American Indialaska Native Students,2013,MENDOCINO COUNTY,1027
American Indialaska Native Students,2013,MERCED COUNTY,255
American Indialaska Native Students,2013,MODOC COUNTY,
American Indialaska Native Students,2013,MONO COUNTY,
American Indialaska Native Students,2013,MONTEREY COUNTY,171
American Indialaska Native Students,2013,NAPA COUNTY,92
American Indialaska Native Students,2013,NEVADA COUNTY,184
American Indialaska Native Students,2013,ORANGE COUNTY,2108
American Indialaska Native Students,2013,PLACER COUNTY,533
American Indialaska Native Students,2013,PLUMAS COUNTY,90
American Indialaska Native Students,2013,RIVERSIDE COUNTY,
American Indialaska Native Students,2013,SACRAMENTO COUNTY,
American Indialaska Native Students,2013,SAN BENITO COUNTY,41
American Indialaska Native Students,2013,SAN BERNARDINO COUNTY,2000
American Indialaska Native Students,2013,SAN DIEGO COUNTY,
American Indialaska Native Students,2013,SAN FRANCISCO COUNTY,265
American Indialaska Native Students,2013,SAN JOAQUIN COUNTY,1685
American Indialaska Native Students,2013,SAN LUIS OBISPO COUNTY,200
American Indialaska Native Students,2013,SAN MATEO COUNTY,174
