statename,y2013
Alabama,27.7
Alaska,15.8
Arizona,25.6
Arkansas,26.4
California,22.7
Colorado,15.4
Connecticut,14.9
Delaware,17.7
District of Columbia,26
Florida,23.8
Georgia,26.3
Hawaii,14.7
Idaho,18.8
Illinois,20.2
Indiana,18.8
Iowa,15.3
Kansas,17.7
Kentucky,26.2
Louisiana,27.9
Maine,19.1
Maryland,13
Massachusetts,15.2
Michigan,22.6
Minnesota,14.9
Mississippi,29.4
Missouri,21.1
Montana,18.5
Nebraska,16.2
Nevada,22
New Hampshire,13
New Jersey,15.9
New Mexico,29.5
New York,22.6
North Carolina,24.3
North Dakota,14.8
Ohio,22.9
Oklahoma,22.4
Oregon,21.6
Pennsylvania,19.4
Rhode Island,19.8
South Carolina,27.1
South Dakota,18
Tennessee,26.2
Texas,24.6
Utah,13.3
Vermont,15.8
Virginia,15.8
Washington,17.5
West Virginia,24.7
Wisconsin,18.4
Wyoming,12.8
